"repository","issue_number","issue_url","title","author_login","author_name","summary_line_1","summary_line_2","labels","issue_date","created_at_utc","updated_at_utc","state","comments_count","component","functionality_area","functionality_subarea","language_scope","area_source","area_confidence","parent_issue_number","child_issue_numbers"
"Nimblesite/SharpLsp","20","https://github.com/Nimblesite/SharpLsp/issues/20","Rename: aliases and type abbreviations","MelbourneDeveloper","MelbourneDeveloper","Add safe semantic rename for C# using aliases and F# type abbreviations or module aliases.","Limit support to locations exposed reliably by compiler services.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:12Z","2026-08-03T09:45:23Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","21","https://github.com/Nimblesite/SharpLsp/issues/21","Rename: F# record fields","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for F# record fields.","Update declarations, construction and copy expressions, patterns, and field access sites.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:14Z","2026-08-03T09:45:24Z","open","0","F# sidecar (FCS)","Code actions & refactoring","Rename","F# only","inferred","high","",""
"Nimblesite/SharpLsp","22","https://github.com/Nimblesite/SharpLsp/issues/22","Rename: F# discriminated union cases","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for F# discriminated union cases.","Update declarations, construction sites, and pattern matches across real solutions.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:16Z","2026-08-03T09:45:25Z","open","0","F# sidecar (FCS)","Code actions & refactoring","Rename","F# only","inferred","high","",""
"Nimblesite/SharpLsp","23","https://github.com/Nimblesite/SharpLsp/issues/23","Rename: F# active patterns","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for F# active patterns.","Update declarations and every pattern usage site with invalid-name e2e coverage.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:18Z","2026-08-03T09:45:26Z","open","0","F# sidecar (FCS)","Code actions & refactoring","Rename","F# only","inferred","high","",""
"Nimblesite/SharpLsp","33","https://github.com/Nimblesite/SharpLsp/issues/33","feat: update Shipwright repo fixtures for Forge after all deployment issues are resolved","MelbourneDeveloper","MelbourneDeveloper","Synchronize Shipwright’s Forge manifest and version-output fixtures after prerequisite deployment work.","Validate all fixtures with Shipwright’s test suite before closing.","shipwright","2026-04-28","2026-04-28T10:48:14Z","2026-06-23T21:31:31Z","open","0","Shipwright repository","Distribution & platform","Shipwright fixtures","Editor/tooling (language-agnostic)","label","high","",""
"Nimblesite/SharpLsp","43","https://github.com/Nimblesite/SharpLsp/issues/43","Shipwright deployment-contract hardening checklist","MelbourneDeveloper","MelbourneDeveloper","Bring release and IDE deployment into full Shipwright contract compliance.","Harden version checks, Actions permissions and pinning, provenance, SBOMs, checksums, and trusted publishing.","shipwright","2026-06-05","2026-06-05T21:16:02Z","2026-06-05T21:36:56Z","open","0","Release workflows + editor integrations","Security","Supply-chain and deployment hardening","Editor/tooling (language-agnostic)","inferred","high","","45; 46; 47; 48"
"Nimblesite/SharpLsp","45","https://github.com/Nimblesite/SharpLsp/issues/45","Enforce the expected version during resolution","MelbourneDeveloper","MelbourneDeveloper","Reject resolved binaries whose versions differ from the expected release.","Surface a precise startup error under the Shipwright contract.","shipwright","2026-06-05","2026-06-05T21:37:10Z","2026-06-05T21:37:10Z","open","0","Binary resolution","Distribution & platform","Expected-version enforcement","Editor/tooling (language-agnostic)","label","high","43",""
"Nimblesite/SharpLsp","46","https://github.com/Nimblesite/SharpLsp/issues/46","Add Zed LSP-initialize version enforcement","MelbourneDeveloper","MelbourneDeveloper","Enforce binary compatibility during Zed’s LSP initialize handshake.","Reject version mismatches under the Shipwright contract.","shipwright","2026-06-05","2026-06-05T21:37:12Z","2026-06-05T21:37:12Z","open","0","Zed extension","Distribution & platform","Zed version compatibility","Editor/tooling (language-agnostic)","label","high","43",""
"Nimblesite/SharpLsp","47","https://github.com/Nimblesite/SharpLsp/issues/47","Sign + notarize the macOS binaries","MelbourneDeveloper","MelbourneDeveloper","Developer ID sign, notarize, and staple every macOS host and sidecar binary.","Retain cosign provenance alongside Apple signing.","cluster:macos-release; shipwright","2026-06-05","2026-06-05T21:37:38Z","2026-08-03T09:45:27Z","open","0","Release workflows","Distribution & platform","macOS signing and notarization","Editor/tooling (language-agnostic)","label","high","43",""
"Nimblesite/SharpLsp","48","https://github.com/Nimblesite/SharpLsp/issues/48","Windows code signing — current position","MelbourneDeveloper","MelbourneDeveloper","Track the unresolved path to native Windows Authenticode signing.","Use package-manager trust and cosign provenance until a durable option is chosen.","shipwright","2026-06-05","2026-06-05T21:37:45Z","2026-06-05T21:37:45Z","open","0","Release workflows","Distribution & platform","Windows code signing","Editor/tooling (language-agnostic)","label","high","43",""
"Nimblesite/SharpLsp","107","https://github.com/Nimblesite/SharpLsp/issues/107","[Feature]: F# treesitter","ShalokShalom","ShalokShalom","Evaluate the newer generic tree-sitter grammar for F# parsing.","Compare it with the older Neovim-focused implementation before adoption.","","2026-06-20","2026-06-20T15:41:16Z","2026-08-03T09:26:42Z","open","1","Rust LSP host","Core LSP & runtime","F# syntax parsing","F# only","issue_form","high","",""
"Nimblesite/SharpLsp","122","https://github.com/Nimblesite/SharpLsp/issues/122","F#: completion auto-`open` insertion (FSAC parity) needs an unopened-symbol entity index","MelbourneDeveloper","MelbourneDeveloper","Index symbols from referenced assemblies and current F# files so unopened namespaces appear in completion.","Cache insertion edits so resolved completions can add the required open directive.","cluster:fsharp-project-model","2026-06-24","2026-06-24T08:34:56Z","2026-08-03T09:45:28Z","open","0","F# sidecar (FCS)","Code intelligence","F# completion auto-open insertion","F# only","inferred","high","",""
"Nimblesite/SharpLsp","123","https://github.com/Nimblesite/SharpLsp/issues/123","NuGet browser: finish post-install sidecar workspace reload + prerelease/restore polish","MelbourneDeveloper","MelbourneDeveloper","Reload sidecar workspaces after NuGet install or uninstall and add prerelease and restore workflows.","Later add caching, cancellation, performance coverage, and notification-ordering tests.","cluster:nuget-pipeline","2026-06-24","2026-06-24T09:11:43Z","2026-08-03T09:45:29Z","open","0","NuGet browser + .NET sidecars","NuGet & package management","Workspace reload and prerelease/restore","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","142","https://github.com/Nimblesite/SharpLsp/issues/142","Flaky e2e: stale F# error diagnostic survives 60s after file correction (clears-diagnostics race)","abdushakoor12","abdushakoor12","A flaky F# diagnostic can remain for 60 seconds after corrected content is closed and reopened.","Investigate stale pull-result versioning and FCS invalidation, adding an old-version guard if the race is confirmed.",".NET; bug","2026-07-09","2026-07-09T07:50:50Z","2026-07-15T09:36:04Z","open","0","F# sidecar (FCS)","Diagnostics & analyzers","F# stale-diagnostic clearing","F# only","inferred","high","",""
"Nimblesite/SharpLsp","150","https://github.com/Nimblesite/SharpLsp/issues/150","Sidecar listener failure is invisible: exit 0, no stderr, error only in temp log","MelbourneDeveloper","MelbourneDeveloper","Make sidecar listener failures visible through nonzero exits and stderr diagnostics.","Have the Rust host report child status and the sidecar log path when READY never arrives.",".NET; bug; cluster:sidecar-startup","2026-07-15","2026-07-15T09:18:02Z","2026-08-03T09:45:30Z","open","0",".NET sidecar common + Rust LSP host","Core LSP & runtime","Sidecar startup observability","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","151","https://github.com/Nimblesite/SharpLsp/issues/151","Deterministic sidecar IPC endpoint collides across hosts on the same workspace","MelbourneDeveloper","MelbourneDeveloper","Generate unique sidecar IPC endpoints for concurrent hosts on one workspace.","Prevent Windows pipe collisions and Unix socket stealing, with busy-pipe retry as defense in depth.",".NET; bug; cluster:multi-host-isolation; cluster:sidecar-startup; critical","2026-07-15","2026-07-15T09:18:08Z","2026-08-03T09:45:31Z","open","0","Rust LSP host + .NET sidecars","Core LSP & runtime","IPC endpoint allocation","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","152","https://github.com/Nimblesite/SharpLsp/issues/152","Sidecar spawn-time failures bypass crash backoff — unthrottled respawn storm","MelbourneDeveloper","MelbourneDeveloper","Apply crash backoff when a sidecar fails before completing startup.","Prevent semantic requests from spawning unthrottled doomed processes.","bug; cluster:sidecar-startup; critical","2026-07-15","2026-07-15T09:18:12Z","2026-08-03T09:45:32Z","open","0","Rust LSP host","Core LSP & runtime","Sidecar crash backoff","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","153","https://github.com/Nimblesite/SharpLsp/issues/153","SidecarHost.MessageLoopAsync hot-loops on persistent transport exceptions","MelbourneDeveloper","MelbourneDeveloper","Stop the sidecar message loop after persistent transport exceptions.","Avoid hot zombie processes that consume CPU and flood logs.",".NET; bug; cluster:sidecar-lifecycle; critical","2026-07-15","2026-07-15T09:18:17Z","2026-08-03T09:45:33Z","open","0","Shared .NET sidecar infrastructure","Core LSP & runtime","IPC exception handling","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","154","https://github.com/Nimblesite/SharpLsp/issues/154","READY echoes the requested endpoint even when the listener bound a relocated path","MelbourneDeveloper","MelbourneDeveloper","A latent long-Unix-socket-path bug reports the requested endpoint instead of the shortened bound path.","Prevent the host from connecting to the original unbound path.",".NET; bug; cluster:sidecar-startup","2026-07-15","2026-07-15T09:18:22Z","2026-08-03T09:45:34Z","open","0","Rust LSP host + shared .NET sidecar infrastructure","Core LSP & runtime","Unix socket endpoint reporting","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","155","https://github.com/Nimblesite/SharpLsp/issues/155","Sidecar solution restore broken: MessagePack 3.1.7/3.1.8 downgrade + FSharp.Core 10.1.301 violates FCS exact pin","MelbourneDeveloper","MelbourneDeveloper","Align MessagePack versions across sidecar projects and match FSharp.Core to FCS’s exact requirement.","Add dependency-consistency guards to prevent restore-blocking version drift.",".NET; bug; showstopper","2026-07-15","2026-07-15T11:40:26Z","2026-08-03T09:43:46Z","open","0",".NET sidecars","Engineering infrastructure",".NET dependency consistency","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","157","https://github.com/Nimblesite/SharpLsp/issues/157","[Feature]: .sqlproj support","Dazfl","Dazfl","SharpLsp does not load SDK-style .sqlproj projects when opening a solution.","Support should include SQL projects alongside C# and F# projects during solution loading.","","2026-07-15","2026-07-15T22:00:28Z","2026-08-03T09:54:54Z","open","2","C# sidecar (Roslyn)","Workspace & project system",".sqlproj loading","C#; F#","inferred","medium","",""
"Nimblesite/SharpLsp","161","https://github.com/Nimblesite/SharpLsp/issues/161","C# rename returns a single whole-document TextEdit — SourceText normalization defeats granular GetTextChanges (contrary to its own comment)","MelbourneDeveloper","MelbourneDeveloper","C# rename emits one whole-document TextEdit instead of granular symbol edits.","Using unrelated SourceText instances loses change history and disrupts editor state and partial previews.","bug; cluster:rename","2026-07-16","2026-07-16T13:00:45Z","2026-08-03T09:45:35Z","open","0","C# sidecar (Roslyn)","Code actions & refactoring","Rename edit granularity","C# only","inferred","high","",""
"Nimblesite/SharpLsp","162","https://github.com/Nimblesite/SharpLsp/issues/162","make _test-vsix cannot go green on Windows — Linux-shaped staging assertions + temp-dir EPERM cleanup flakes","MelbourneDeveloper","MelbourneDeveloper","The full VSIX test gate fails on Windows because sidecar filenames are asserted without .exe and cleanup hits EPERM.","Platform-aware staging assertions and retrying cleanup after watcher disposal should make the gate reliable.","bug","2026-07-16","2026-07-16T13:22:14Z","2026-08-03T09:43:01Z","open","0","VS Code extension + test tooling","Engineering infrastructure","Windows VSIX test reliability","Editor/tooling (language-agnostic)","inferred","high","",""
"Nimblesite/SharpLsp","163","https://github.com/Nimblesite/SharpLsp/issues/163","Sidecar process-tree cleanup on Windows: no Job Object / tree kill, no parent-death watchdog","MelbourneDeveloper","MelbourneDeveloper","Windows kills only direct sidecar children, allowing dotnet grandchildren and build workers to survive host failure.","A Job Object and parent-death watchdog are needed to terminate the full process tree and release named pipes.","bug; cluster:sidecar-lifecycle; critical","2026-07-16","2026-07-16T22:42:08Z","2026-08-03T09:45:36Z","open","0","Rust LSP host + .NET sidecars","Core LSP & runtime","Windows process-tree cleanup","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","164","https://github.com/Nimblesite/SharpLsp/issues/164","Sidecar protocol hardening: response-id correlation + health-check lock race","MelbourneDeveloper","MelbourneDeveloper","The sidecar manager neither validates response IDs nor performs health checks without a transport lock race.","Mismatched responses should force reconnection and health monitoring should track genuinely stalled requests.","bug; cluster:sidecar-lifecycle","2026-07-16","2026-07-16T22:42:09Z","2026-08-03T09:45:38Z","open","0","Rust LSP host","Core LSP & runtime","IPC response correlation and health monitoring","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","165","https://github.com/Nimblesite/SharpLsp/issues/165","F# sidecar loads only the first .fsproj discovered — multi-project F# workspaces mostly unanalyzed","MelbourneDeveloper","MelbourneDeveloper","The F# sidecar loads only the first discovered .fsproj, leaving other projects on synthetic single-file analysis.","It should load every solution project and route each file through its owning FSharpProjectOptions.","bug; cluster:fsharp-project-model; critical","2026-07-16","2026-07-16T22:42:10Z","2026-08-03T09:45:38Z","open","0","F# sidecar (FCS)","Workspace & project system","F# multi-project loading","F# only","inferred","high","",""
"Nimblesite/SharpLsp","166","https://github.com/Nimblesite/SharpLsp/issues/166","MSBuildInstanceSelector: exact Roslyn version equality — SDK servicing skew falls back to a known-broken registration","MelbourneDeveloper","MelbourneDeveloper","Exact Roslyn assembly version matching rejects compatible serviced SDKs and can trigger the known broken fallback registration.","SDK selection should accept a compatible minimum version or fully isolate bundled Roslyn assemblies.","bug; critical","2026-07-16","2026-07-16T22:42:12Z","2026-08-03T09:43:40Z","open","0","C# sidecar (Roslyn)","Distribution & platform","MSBuild SDK selection","C# only","inferred","high","",""
"Nimblesite/SharpLsp","167","https://github.com/Nimblesite/SharpLsp/issues/167","Sidecar PATH resolution accepts .cmd/.bat/extensionless shims the spawn then cannot execute","MelbourneDeveloper","MelbourneDeveloper","Windows PATH discovery accepts command shims that CreateProcess cannot execute and then suppresses working fallback locations.","Resolution should launch a supported absolute executable or continue through the fallback chain after spawn failure.","bug; cluster:sidecar-startup","2026-07-16","2026-07-16T22:42:14Z","2026-08-03T09:45:39Z","open","0","Rust LSP host","Distribution & platform","Sidecar executable discovery","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","168","https://github.com/Nimblesite/SharpLsp/issues/168","Profiler: default output paths are CWD-relative and ProfilerConfig.output_directory is dead","MelbourneDeveloper","MelbourneDeveloper","Profiler outputs default to a host-CWD-relative directory that may be unwritable, while the configured output directory is ignored.","Defaults should use the workspace or user data directory and report clear write failures.","bug","2026-07-16","2026-07-16T22:42:15Z","2026-08-03T09:43:08Z","open","0","Rust LSP host","Profiling","Output path configuration","Editor/tooling (language-agnostic)","inferred","high","",""
"Nimblesite/SharpLsp","169","https://github.com/Nimblesite/SharpLsp/issues/169","workspace symbols: collect_source_files follows directory junctions with no cycle detection or depth cap","MelbourneDeveloper","MelbourneDeveloper","Workspace-symbol file discovery follows symlink or junction cycles without a visited set or depth limit.","Canonical-path cycle detection and a depth cap are needed to prevent host stack overflow.","bug; cluster:workspace-symbols; critical","2026-07-16","2026-07-16T22:42:16Z","2026-08-03T09:45:40Z","open","0","Rust LSP host","Navigation & symbols","Workspace-symbol file traversal","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","170","https://github.com/Nimblesite/SharpLsp/issues/170","NuGet: packages-root prefix strip lacks a separator boundary; parse.rs scrapes MSBuild XML line-wise","MelbourneDeveloper","MelbourneDeveloper","NuGet path matching can confuse sibling package roots, and project XML is parsed with fragile line scanning.","Boundary-aware paths and a real MSBuild or XML document model should replace both behaviors.","bug; cluster:nuget-pipeline","2026-07-16","2026-07-16T22:42:17Z","2026-08-03T09:45:41Z","open","0","Rust LSP host","NuGet & package management","Project parsing and package-root handling","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","171","https://github.com/Nimblesite/SharpLsp/issues/171","native_paths_equal is ASCII-only case-insensitive — NTFS is case-insensitive across Unicode","MelbourneDeveloper","MelbourneDeveloper","VFS path equality folds ASCII only, so equivalent non-ASCII NTFS paths can miss the live buffer.","Use operating-system case comparison or suitable Unicode folding and cover non-ASCII fixture paths.","bug","2026-07-16","2026-07-16T22:42:19Z","2026-08-03T09:43:12Z","open","0","Rust LSP host","Core LSP & runtime","VFS path normalization","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","172","https://github.com/Nimblesite/SharpLsp/issues/172","Sidecar shutdown acknowledgement is never sent — handler cancels the token the response write depends on","MelbourneDeveloper","MelbourneDeveloper","The sidecar cancels the token used to write its shutdown acknowledgement, so graceful shutdown always times out.","It should flush the acknowledgement before cancellation and hard termination.","bug; cluster:sidecar-lifecycle","2026-07-16","2026-07-16T22:42:21Z","2026-08-03T09:45:42Z","open","0","Shared .NET sidecar infrastructure","Core LSP & runtime","Sidecar shutdown","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","173","https://github.com/Nimblesite/SharpLsp/issues/173","Decompiled-source temp files are shared across sidecar processes and written without sharing — Windows write race","MelbourneDeveloper","MelbourneDeveloper","Concurrent C# sidecars share and exclusively overwrite the same decompiled-source temp paths.","Process-scoped paths or atomic write-and-rename semantics should prevent Windows races and partial reads.","bug; cluster:multi-host-isolation","2026-07-16","2026-07-16T22:42:22Z","2026-08-03T09:45:43Z","open","0","C# sidecar (Roslyn)","Navigation & symbols","Metadata navigation and decompilation","C# only","inferred","high","",""
"Nimblesite/SharpLsp","174","https://github.com/Nimblesite/SharpLsp/issues/174","C# parity: textDocument/signatureHelp is F#-only — Roslyn sidecar has no handler, host answers null","MelbourneDeveloper","MelbourneDeveloper","C# signature-help requests return null because only the F# sidecar implements the shared route.","The Roslyn sidecar should produce the shared SignatureHelpResult and the C# end-to-end test should require it.","bug","2026-07-16","2026-07-16T22:51:39Z","2026-08-03T09:43:17Z","open","0","C# sidecar (Roslyn)","Code intelligence","Signature help","C# only","inferred","high","",""
"Nimblesite/SharpLsp","176","https://github.com/Nimblesite/SharpLsp/issues/176","[Feature]: MacOS support","et1975","et1975","The VS Code extension is unavailable for macOS.","Publishing and packaging should support macOS as a language-agnostic editor platform.","bug; cluster:macos-release; critical","2026-07-17","2026-07-17T15:10:49Z","2026-08-03T09:45:44Z","open","0","VS Code extension","Distribution & platform","macOS packaging and support","Editor/tooling (language-agnostic)","issue_form","high","",""
"Nimblesite/SharpLsp","178","https://github.com/Nimblesite/SharpLsp/issues/178","[Bug]: Completion inserts duplicate method name after . (e.g. Console.WriteLineWriteLine)","sammychinedu2ky","sammychinedu2ky","Selecting a C# member completion after a dot appends the method name to itself.","Completion edits should replace the active identifier range instead of duplicating the selected item.","bug; critical","2026-07-18","2026-07-18T14:52:07Z","2026-08-03T09:42:20Z","open","0","Not specified in issue","Code intelligence","Completion edit ranges","C# only","inferred","high","",""
"Nimblesite/SharpLsp","180","https://github.com/Nimblesite/SharpLsp/issues/180","Test Explorer: MSTest tests not discovered (dotnet test --list-tests emits bare DisplayName, not FQN)","MelbourneDeveloper","MelbourneDeveloper","MSTest tests are omitted because text scraping expects dotted names while dotnet test emits bare display names.","Discovery should consume TestCase.FullyQualifiedName through VSTest or another structured result source.","bug","2026-07-18","2026-07-18T23:58:18Z","2026-08-03T09:43:19Z","open","0","VS Code extension","Testing & coverage","Test Explorer discovery","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","190","https://github.com/Nimblesite/SharpLsp/issues/190","Closure dedup is case-insensitive on case-sensitive filesystems, silently dropping includes","MelbourneDeveloper","MelbourneDeveloper","Case-insensitive closure deduplication silently drops distinct include files on case-sensitive filesystems.","Comparer behavior should match the actual volume and report every skipped already-visited include.","bug; cluster:csharp-single-file","2026-07-28","2026-07-28T22:14:25Z","2026-08-03T09:45:45Z","open","0","C# sidecar (Roslyn)","Scripting & file-based apps","C# file-based include closure","C# only","inferred","high","",""
"Nimblesite/SharpLsp","191","https://github.com/Nimblesite/SharpLsp/issues/191","Windows: Solution Explorer / workspaceSymbols serve stale data after rename (3 e2e failures)","MelbourneDeveloper","MelbourneDeveloper","Windows Solution Explorer and workspaceSymbols can show the previous symbol name after unsaved or rapid renames.","Instrument VFS/path resolution and refresh ordering; add generation-aware responses if that race is confirmed.","bug; cluster:workspace-symbols","2026-07-28","2026-07-28T22:44:56Z","2026-08-03T09:45:46Z","open","0","VS Code extension + Rust LSP host","Workspace & project system","Solution Explorer and workspace-symbol reactivity","Editor/tooling (language-agnostic)","inferred","medium","",""
"Nimblesite/SharpLsp","192","https://github.com/Nimblesite/SharpLsp/issues/192","Branch protection on main requires no functional test job — a fully red test run can merge","MelbourneDeveloper","MelbourneDeveloper","Branch protection on main requires no functional or coverage test jobs, so fully failing changes can merge.","Required checks should include Rust, .NET, VS Code, Windows, and coverage jobs with verified skip behavior.","bug; critical","2026-07-28","2026-07-28T22:45:34Z","2026-08-03T09:43:44Z","open","0","GitHub repository settings","Engineering infrastructure","CI branch protection","Editor/tooling (language-agnostic)","inferred","high","",""
"Nimblesite/SharpLsp","193","https://github.com/Nimblesite/SharpLsp/issues/193","[Bug]: C# Sidecar Initialization Fails Permanently When Opening a Projectless Directory","ashar-builds","ashar-builds","Opening a projectless directory leaves the C# sidecar permanently uninitialized when a C# file is created later.","Directory initialization should succeed provisionally and lazily open single-file mode on the first C# document.","bug; cluster:csharp-single-file; critical","2026-07-29","2026-07-29T05:00:18Z","2026-08-03T09:45:47Z","open","0","C# sidecar (Roslyn)","Workspace & project system","Projectless and single-file initialization","C# only","issue_form","high","",""
"Nimblesite/SharpLsp","195","https://github.com/Nimblesite/SharpLsp/issues/195","vscode-languageclient v10 breaks restartServer: client never returns to Running","MelbourneDeveloper","MelbourneDeveloper","vscode-languageclient 10 prevents restartServer from returning the client and status bar to Running.","Investigate vscode-languageclient v10 restart readiness and stop-start sequencing while retaining the completed logging API migration.","bug","2026-07-29","2026-07-29T23:35:01Z","2026-08-03T09:43:25Z","open","0","VS Code extension","Editor integrations & UI","Extension lifecycle and server restart","Editor/tooling (language-agnostic)","inferred","high","",""
"Nimblesite/SharpLsp","196","https://github.com/Nimblesite/SharpLsp/issues/196","Flaky e2e: profiler object-graph test fails when the baseline heap dump has no StringBuilder instances","MelbourneDeveloper","MelbourneDeveloper","The profiler object-graph test races heap capture against StringBuilder allocation and fails intermittently.","A readiness signal or bounded polling should synchronize the baseline dump without weakening the assertion.","bug","2026-07-30","2026-07-30T00:06:36Z","2026-08-03T09:43:27Z","open","0","Rust profiler e2e tests","Engineering infrastructure","Profiler e2e reliability","Editor/tooling (language-agnostic)","inferred","high","",""
